horizon,region,region_kr,year,n_decisions,always_now_risk,model_rule_risk,climate_rule_risk,oracle_risk,model_improvement_pct,climate_improvement_pct,oracle_improvement_pct,oracle_capture_pct,direction_accuracy,mean_regret,delay_choice_rate
3,chukchi,추크치해,2022,120,0.43516977183493855,0.40385798229725695,0.4235942502746097,0.38077084137437384,0.07195304353437093,0.026600012936375345,0.12500622511344472,0.5755956830875634,0.6833333333333333,0.023087140922883102,0.5916666666666667
3,chukchi,추크치해,2023,120,0.45068390238889633,0.42771384347475117,0.45025272549586454,0.4110564373198654,0.05096711640329288,0.0009567168712844975,0.0879274029069631,0.5796499693869238,0.7083333333333334,0.0166574061548857,0.5583333333333333
3,chukchi,추크치해,2024,120,0.5907818229014657,0.5634860391763652,0.5921502364100494,0.5437694531688997,0.04620281577223325,-0.002316275578458115,0.07957653385758802,0.5806085479284491,0.7166666666666667,0.01971658600746542,0.475
3,east_siberian,동시베리아해,2022,120,0.5272183439810937,0.5205971171943994,0.5331322893822587,0.4994776141920979,0.012558794401379443,-0.011217260303402955,0.05261715588179643,0.23868250176031117,0.6583333333333333,0.02111950300230139,0.425
3,east_siberian,동시베리아해,2023,120,0.36008386499759176,0.3436240672604641,0.3532100749237395,0.3275607921217789,0.04571101162013388,0.019089414278249374,0.09032082811050245,0.5060960198926545,0.65,0.016063275138685214,0.4083333333333333
3,east_siberian,동시베리아해,2024,120,0.3785878100334988,0.36149945359333474,0.3681496465699972,0.3479905361012038,0.045137101584575595,0.027571314202055174,0.080819490541937,0.5584927754667556,0.725,0.013508917492130972,0.39166666666666666
3,kara,카라해,2022,120,0.39026113669593576,0.3654221597939259,0.380613423065083,0.35181060052240093,0.06364706747974924,0.024721174423190353,0.09852514779992763,0.6459981933647604,0.7083333333333334,0.013611559271524935,0.38333333333333336
3,kara,카라해,2023,120,0.5174232400270861,0.487742801892349,0.520868265963004,0.4732270127779382,0.05736201206034614,-0.006658042525761984,0.08541600730348768,0.6715604471716385,0.7583333333333333,0.014515789114410805,0.5333333333333333
3,kara,카라해,2024,120,0.33816365124159437,0.32907714640797797,0.34107652232564994,0.30116687264844366,0.026870140537738396,-0.00861379120245699,0.10940495365872153,0.2456025951215817,0.6583333333333333,0.027910273759534317,0.5583333333333333
3,laptev,랍테프해,2022,120,0.6326889126906683,0.6121955622018106,0.6254687832442419,0.6021979778373246,0.0323908797480022,0.011411815983499614,0.04819261763837981,0.6721128947809349,0.8,0.009997584364485775,0.475
3,laptev,랍테프해,2023,120,0.6354742995600301,0.6131695456110033,0.634581053547418,0.5956638412111425,0.03509938004490414,0.001405636723987941,0.06264684248670695,0.5602737289170142,0.6916666666666667,0.01750570439986084,0.4
3,laptev,랍테프해,2024,120,0.608199940674709,0.5873388303522814,0.6119660299337245,0.5768192828464145,0.034299757246416686,-0.006192189454733642,0.05159595673995333,0.6647760680025663,0.725,0.01051954750586681,0.39166666666666666
7,chukchi,추크치해,2022,116,0.4324962437147101,0.3760447754570347,0.3994992193552558,0.35902505382993083,0.13052475964372268,0.07629436056147658,0.16987705893983093,0.7683483600334373,0.7844827586206896,0.01701972162710389,0.5948275862068966
7,chukchi,추크치해,2023,116,0.4362674037443931,0.39237124018747704,0.41607435932469666,0.37791107166981347,0.10061756431987433,0.04628593437507296,0.13376276011849447,0.7522090919082539,0.7844827586206896,0.014460168517663671,0.5862068965517241
