region,year,month,mean_relative_pct,median_relative_pct,p_worse,n_pairs
chukchi,2015,7,-1.7032831766425118,-7.518742358146612,0.3548387096774194,31
chukchi,2015,8,17.21786846029552,-9.917059242802805,0.45161290322580644,31
chukchi,2015,9,36.01533351203087,-9.584314978652769,0.4666666666666667,30
chukchi,2015,10,22.45809834819905,5.606940342051592,0.6428571428571429,28
chukchi,2016,7,1.2319972642048154,0.5267938249467141,0.5161290322580645,31
chukchi,2016,8,-3.4409441213296437,-3.2041784568849208,0.3548387096774194,31
chukchi,2016,9,7.9747289303698965,-5.136691046694885,0.43333333333333335,30
chukchi,2016,10,24.397536726743102,1.1118237616845938,0.5357142857142857,28
chukchi,2017,7,-7.450418730683458,-7.847859097815501,0.3225806451612903,31
chukchi,2017,8,10.232793872926962,-4.567344344409408,0.41935483870967744,31
chukchi,2017,9,32.638142365368395,-3.391769326886357,0.4666666666666667,30
chukchi,2017,10,27.217572530188864,-14.459991873358728,0.42857142857142855,28
chukchi,2018,7,-2.089043052582603,-5.086393588590521,0.41935483870967744,31
chukchi,2018,8,4.26721711746314,-14.847675467971422,0.41935483870967744,31
chukchi,2018,9,12.050890685362573,11.549565327616072,0.6,30
chukchi,2018,10,35.83989697823006,13.792314414608498,0.6071428571428571,28
chukchi,2019,7,-6.685314221917556,-5.443387120883358,0.25806451612903225,31
chukchi,2019,8,32.837354097347706,5.419345467703374,0.5483870967741935,31
chukchi,2019,9,11.200486207367106,-10.549322598634141,0.43333333333333335,30
chukchi,2019,10,15.42279310432407,4.980302917792445,0.5714285714285714,28
chukchi,2020,7,-1.9815069180313993,0.12963690727567645,0.5161290322580645,31
chukchi,2020,8,1.0499733579168216,-9.958707437190906,0.3225806451612903,31
chukchi,2020,9,14.304610559738958,4.532834164298893,0.5333333333333333,30
chukchi,2020,10,41.473075664651226,1.5486491000167857,0.5357142857142857,28
chukchi,2021,7,1.11425701037195,1.6252483303954568,0.5483870967741935,31
chukchi,2021,8,-1.7967481266177865,-9.31608383878535,0.4838709677419355,31
chukchi,2021,9,15.66658933099689,1.6919147964247983,0.5333333333333333,30
chukchi,2021,10,2.17353462475279,0.1996961483927806,0.5,28
chukchi,2022,7,-2.139545086428288,-2.1612699543462233,0.45161290322580644,31
chukchi,2022,8,1.490598499135443,-13.3727801105066,0.3548387096774194,31
chukchi,2022,9,0.9357189585753252,-7.491398412947808,0.43333333333333335,30
chukchi,2022,10,54.16727986746069,10.539630238432208,0.6071428571428571,28
chukchi,2023,7,-4.383107459777017,-4.93950366676863,0.3548387096774194,31
chukchi,2023,8,0.4248047222184961,-0.43748050095522295,0.4838709677419355,31
chukchi,2023,9,18.56313625167328,8.959864378352567,0.5666666666666667,30
