region,region_kr,month,n_pairs,mean_relative_pct,median_relative_pct,winsor_mean_pct,mean_log_pct,mean_absolute_change,p_worse,q10_pct,q90_pct,cluster_mean_ci_low,cluster_mean_ci_high,positive_cluster_share,denominator_sensitive,robust_direction
ALL,전체,ALL,4800,7.229459008515668,-0.6626630785270982,4.149667514699557,0.3029299023777894,0.001999123280658401,0.4872916666666667,-30.810318269617838,47.2983894337146,5.901855865451895,8.603655804976897,1.0,False,증가
ALL,전체,7,1240,-1.2878486800230595,-1.903328052733133,-1.4133523353748174,-2.522441798471997,-0.011184969543685992,0.4411290322580645,-18.76993056371334,16.202757093383067,-2.3411121882061767,-0.33035970119422015,0.3,False,감소
ALL,전체,8,1240,1.2674483011620012,-3.880328983792869,-1.1835363463412527,-5.001755363154161,-0.016921667020852568,0.4290322580645161,-36.456939127201274,37.884890699257554,-0.5979003598085132,3.312592638597117,0.6,True,불확실
ALL,전체,9,1200,13.953270479381512,0.5992256356216363,10.697933788406282,2.3161093010175553,0.007352132589108337,0.5075,-40.19155928179631,75.36092752145025,9.964953645722161,18.28853453842678,1.0,False,증가
ALL,전체,10,1120,16.05604922804027,4.339673351655737,12.972367053688123,7.147086473757819,0.03180844819665905,0.58125,-26.55616424435254,68.62115962968382,11.962759309081381,20.62707083752037,1.0,False,증가
chukchi,추크치해,ALL,1200,10.773257966694223,-1.8432370318071434,6.376245549860169,0.10850705243591861,0.0013089117400625658,0.47583333333333333,-39.00179377348327,62.79669251452065,7.988299398642123,13.40657678145562,1.0,False,증가
chukchi,추크치해,7,310,-2.250823764210616,-3.3343116197099896,-2.4552086443080614,-3.7858884264756103,-0.019622657981894387,0.42258064516129035,-20.2459535568182,18.223979883205857,-4.128516108076435,-0.4502531537770174,0.3,False,감소
chukchi,추크치해,8,310,5.334331013940347,-6.568996223699802,1.8537045280458304,-5.37501341013122,-0.023305149266588093,0.4064516129032258,-42.307883983930424,62.96037377609826,-0.9885699281471271,12.996881062624496,0.7,True,불확실
chukchi,추크치해,9,300,15.364183505303203,-1.2837292982008974,11.091810833449335,0.5791220070367312,0.0026828956410001412,0.49333333333333335,-46.813643541435944,76.10577624342899,9.255664875473554,22.36782325837815,1.0,False,증가
chukchi,추크치해,10,280,26.295597360806752,4.842109362519087,20.630870778001647,9.986969393429288,0.05026230586715931,0.5928571428571429,-36.71404396390908,107.01412262527376,18.120851314657994,34.964005826460635,1.0,False,증가
east_siberian,동시베리아해,ALL,1200,6.712396230313362,-0.5340956863719493,3.7480661427205497,0.439109335786008,0.0026475422841148555,0.49166666666666664,-28.94835211306483,41.97696349349778,4.370547537628022,9.158773777841757,1.0,False,증가
east_siberian,동시베리아해,7,310,-0.4377098631525149,-0.9105395553989759,-0.48889091472273627,-1.0537782428253173,-0.0044406970161270445,0.4774193548387097,-13.430449921556544,13.513675581029743,-1.7643062885702478,0.6978581893824518,0.5,False,불확실
east_siberian,동시베리아해,8,310,-2.8853375861170965,-3.572277519465267,-4.8156614241794395,-7.708888047927467,-0.021688101295568092,0.4161290322580645,-36.43742976704645,25.316165521397174,-5.081817532580699,-0.8928880761555363,0.1,False,감소
east_siberian,동시베리아해,9,300,17.440009714258,-0.043189947924276995,14.805803934586214,4.508759957150581,0.012797841355680987,0.49666666666666665,-38.59477186623445,97.68419565127024,10.332851462387037,24.792203096085398,1.0,False,증가
east_siberian,동시베리아해,10,280,13.760775969186474,5.197290458998038,11.706925517360956,6.752606306897852,0.026562949324496512,0.5857142857142857,-21.816137850450804,65.57683635453891,6.137759989958377,22.188939783931676,0.9,False,증가
kara,카라해,ALL,1200,7.231651043436373,-0.9621703242918611,5.197664266727635,0.39883336212136805,0.002355724772137061,0.48583333333333334,-32.90597559972879,55.29738155539821,5.59092987341936,9.216958287771511,1.0,False,증가
kara,카라해,7,310,-2.2516651385898907,-3.2979992766362654,-2.543281648812894,-3.823315885257836,-0.014596297748095354,0.4032258064516129,-22.371240712182722,17.797050255480833,-4.282434486872837,-0.10468624567651197,0.4,False,감소
