region,region_kr,n_years,mean_risk,interannual_cv,ols_slope_per_year,ols_p_value,theil_sen_slope,sen_ci_low,sen_ci_high,trend_direction
chukchi,추크치해,10,0.4875654305811329,0.2202480999064605,0.00968064615136261,0.44547176972164004,0.00743545567718189,-0.02258026250741993,0.03339352512255589,불확실
east_siberian,동시베리아해,10,0.4202311862603826,0.19728983424597038,-0.00904438251427457,0.3512895555826836,-0.010094290867838565,-0.024495845332491842,0.017632013882928732,불확실
kara,카라해,10,0.3793608600514076,0.20772401196074747,0.006897654861101637,0.45931078777013723,0.006045955068191412,-0.017818414912203106,0.028796184568757044,불확실
laptev,랍테프해,10,0.5402307557980808,0.21233627625200197,0.00196463456930261,0.8868734301015182,0.0013850214296328156,-0.042360448571547624,0.038437113022338376,불확실
