region,region_kr,mmdd,risk_mean,risk_median,risk_q25,risk_q75,p_below_year_median,years,candidate
chukchi,추크치해,07-01,0.7351988590936847,0.7216005254352003,0.7067049769798137,0.7569966585220587,0.0,10,False
chukchi,추크치해,07-02,0.7684585105653671,0.7761312389940442,0.6951236130392837,0.8396697667051087,0.0,10,False
chukchi,추크치해,07-03,0.7623312882891723,0.7508749897747183,0.6867586831706491,0.8212070148331445,0.0,10,False
chukchi,추크치해,07-04,0.740461606225018,0.7420764998030108,0.6903441102221709,0.7847224295644801,0.1,10,False
chukchi,추크치해,07-05,0.7198927005075934,0.7106732338344561,0.6746462653036884,0.7318659773878551,0.1,10,False
chukchi,추크치해,07-06,0.7364006167304579,0.7454655901270126,0.7062145404836698,0.7652435831029398,0.1,10,False
chukchi,추크치해,07-07,0.7545859936577299,0.749469261656379,0.7212570916702767,0.7659328940137062,0.0,10,False
chukchi,추크치해,07-08,0.7490707743302062,0.717850191886914,0.702032739305001,0.7971934979878614,0.1,10,False
chukchi,추크치해,07-09,0.7485479392084243,0.7432721929083586,0.6862561210972179,0.7875650442255654,0.1,10,False
chukchi,추크치해,07-10,0.7609165940213212,0.7496323227829993,0.7104700366183274,0.8103106498947884,0.0,10,False
chukchi,추크치해,07-11,0.7319806133660542,0.7363865738022842,0.717281809514492,0.7706026332400848,0.0,10,False
chukchi,추크치해,07-12,0.6848986816062951,0.6849230293134774,0.6703305886792417,0.6980829628756886,0.0,10,False
chukchi,추크치해,07-13,0.7052086106278378,0.7121434770137777,0.6653804939176756,0.7856715267145187,0.0,10,False
chukchi,추크치해,07-14,0.7074604860580594,0.7237426159205547,0.670994554356708,0.7626448033085793,0.1,10,False
chukchi,추크치해,07-15,0.7076572762378699,0.7310803479740676,0.6867272085462108,0.739212800824379,0.1,10,False
chukchi,추크치해,07-16,0.6925387450983542,0.7117109325411475,0.6498210308991007,0.7652309488436303,0.0,10,False
chukchi,추크치해,07-17,0.6898131265050699,0.7105526546396297,0.6887720122767742,0.7259503107328097,0.0,10,False
chukchi,추크치해,07-18,0.7379559535885356,0.7559800027233397,0.68261007676976,0.814502052711163,0.0,10,False
chukchi,추크치해,07-19,0.7148633265691258,0.751588889500941,0.6034623786270779,0.8084123536357115,0.1,10,False
chukchi,추크치해,07-20,0.6944592537552661,0.730672730537605,0.6072894368040687,0.7921818299468975,0.0,10,False
chukchi,추크치해,07-21,0.6994804530255511,0.7007597096673512,0.6380866085447772,0.7927047058759169,0.0,10,False
chukchi,추크치해,07-22,0.7019524997428699,0.7085699141344922,0.6366858337529245,0.7992529239342424,0.1,10,False
chukchi,추크치해,07-23,0.6797291815125879,0.7168379503389036,0.6577613654484955,0.7422317506535154,0.1,10,False
chukchi,추크치해,07-24,0.6398483248191782,0.6692689652478592,0.6118501131073901,0.7307717343443438,0.1,10,False
chukchi,추크치해,07-25,0.5974156784898643,0.6644658961097495,0.5005023907862014,0.6811040275122113,0.2,10,False
chukchi,추크치해,07-26,0.6453972794572288,0.6802328486192086,0.45371847452024594,0.7400322872567452,0.1,10,False
chukchi,추크치해,07-27,0.6477444645005176,0.6238137926858776,0.4829645417439433,0.7961491774612801,0.1,10,False
chukchi,추크치해,07-28,0.6153163889151647,0.6038980288076641,0.46846481735748113,0.7066710429385874,0.1,10,False
chukchi,추크치해,07-29,0.5978773580773805,0.5853927894858916,0.45394313578367196,0.7343466817762248,0.2,10,False
chukchi,추크치해,07-30,0.5591615050108738,0.5438945474904715,0.4157534172662538,0.7222518351489559,0.3,10,False
chukchi,추크치해,07-31,0.5312376015333293,0.521212044705882,0.4673445540407925,0.686604899103629,0.4,10,False
chukchi,추크치해,08-01,0.5588852195775309,0.4992819708030243,0.45810765460814884,0.7271630268927741,0.2,10,False
chukchi,추크치해,08-02,0.5559093435872967,0.5696984316082181,0.4725884022380187,0.7382882840351068,0.2,10,False
chukchi,추크치해,08-03,0.5428916973446705,0.5326292791097953,0.41306061466917837,0.6416506413425862,0.1,10,False
chukchi,추크치해,08-04,0.5104518229204013,0.4623977775020064,0.40243401609567137,0.632249309236753,0.4,10,False
chukchi,추크치해,08-05,0.4814352333612443,0.44232192986806285,0.34827451885000016,0.6460600133689531,0.3,10,False
chukchi,추크치해,08-06,0.49511793299520257,0.41148672794597535,0.3194986854281998,0.6598679166096496,0.3,10,False
chukchi,추크치해,08-07,0.48544582119468116,0.434726592218521,0.3355919404643881,0.6531649719104725,0.3,10,False
chukchi,추크치해,08-08,0.513815255041291,0.47845970260242016,0.37900555675239683,0.6157330510662549,0.3,10,False
chukchi,추크치해,08-09,0.47866010468422193,0.46509801099572345,0.39924925587229443,0.6194007911319311,0.4,10,False
chukchi,추크치해,08-10,0.396007448235003,0.34647084194622585,0.24869722895224933,0.5794466373903717,0.7,10,False
chukchi,추크치해,08-11,0.43222510418639465,0.3987204637520332,0.34934991072228927,0.5382413619247853,0.5,10,False
chukchi,추크치해,08-12,0.40493963558046825,0.33622203747898805,0.3115347558953251,0.5103518858539784,0.9,10,False
chukchi,추크치해,08-13,0.440502160957393,0.38734084023638465,0.33753097110797853,0.5045056317160154,0.5,10,False
chukchi,추크치해,08-14,0.4093401453080573,0.3633124561754312,0.23586164366911685,0.5232870475005239,0.5,10,False
chukchi,추크치해,08-15,0.3619203875209231,0.26612765254336757,0.19566945983522657,0.5145358857219267,0.7,10,False
chukchi,추크치해,08-16,0.38248181150331423,0.2870583535983759,0.2235936831366791,0.4793594621591128,0.7,10,False
chukchi,추크치해,08-17,0.36848729796096114,0.2811055268237116,0.2423456919096664,0.4985156705642345,0.9,10,False
chukchi,추크치해,08-18,0.41301109748310544,0.32930555926157346,0.30753052384101,0.5713287128004527,0.9,10,False
chukchi,추크치해,08-19,0.354675482810321,0.2740030600522644,0.25117864987333205,0.5103724530242816,0.9,10,False
chukchi,추크치해,08-20,0.30418039724147006,0.2341744231410465,0.17238795913016675,0.4051160207638399,0.9,10,True
chukchi,추크치해,08-21,0.3228232792314149,0.2306168042652456,0.18426690194201775,0.49895298237111246,0.9,10,True
chukchi,추크치해,08-22,0.368308792077497,0.32111089806367243,0.25241945372245433,0.4448425410578102,0.9,10,False
chukchi,추크치해,08-23,0.3748460289502692,0.3592839739805759,0.27840819105757975,0.4638405010959129,0.6,10,False
chukchi,추크치해,08-24,0.3275016468844476,0.29406389549827433,0.22539183602924487,0.410284509034365,1.0,10,True
chukchi,추크치해,08-25,0.3404640143717572,0.26233244878951145,0.20467672567884454,0.5083452521225134,0.9,10,False
chukchi,추크치해,08-26,0.3661734067658132,0.3124460318817476,0.22009149658889005,0.463463472488772,0.7,10,False
chukchi,추크치해,08-27,0.3590866974735419,0.3108954304728551,0.2397311067510062,0.5029005872146434,0.8,10,False
chukchi,추크치해,08-28,0.33164406756399245,0.307585852313059,0.2134476499230598,0.44067445827177254,0.9,10,False
chukchi,추크치해,08-29,0.2993727331881741,0.33064853355951207,0.16689637110500616,0.3838453611418044,0.8,10,True
chukchi,추크치해,08-30,0.29618594858367897,0.30568174436967127,0.18398153106546242,0.4055838843693215,0.8,10,True
chukchi,추크치해,08-31,0.3071348486263744,0.3198161931330165,0.2645466606095553,0.3503833909515745,0.9,10,True
chukchi,추크치해,09-01,0.3126938347466649,0.31077242482993045,0.2702218013072136,0.34693234878075646,0.9,10,True
chukchi,추크치해,09-02,0.30077602866374986,0.2596012255674284,0.1981784730159075,0.40624421863975946,0.9,10,True
chukchi,추크치해,09-03,0.32175676983485246,0.28116961804501245,0.2211173861148974,0.3638353207119259,0.9,10,True
chukchi,추크치해,09-04,0.34659044584289705,0.3137047158049431,0.27146693958855844,0.3739471938669211,1.0,10,False
chukchi,추크치해,09-05,0.3103030759778511,0.24786676795665608,0.2275344204261858,0.31539975464940884,1.0,10,True
chukchi,추크치해,09-06,0.24963654902051413,0.2312764452156068,0.17888677915165757,0.2638458733806803,1.0,10,True
chukchi,추크치해,09-07,0.2826964600220074,0.24789754028667277,0.20893831868935747,0.3450749041857013,0.9,10,True
chukchi,추크치해,09-08,0.2862562013493954,0.24257126533405104,0.22267090591984873,0.2883472033379714,0.9,10,True
chukchi,추크치해,09-09,0.26754505602864886,0.2856631963817716,0.19914942742145253,0.29232610946262994,1.0,10,True
