test_year,horizon,train_year_start,train_year_end,n_decisions,rmse_model,rmse_persistence,skill_vs_persistence,model_improvement_pct,oracle_improvement_pct,oracle_capture_pct,direction_accuracy
2020,3,2015,2019,480,0.10098459480456258,0.1301195483150109,0.39768294541344884,0.08988121099777867,0.13663256446745065,0.6578315451232759,0.7145833333333333
2020,7,2015,2019,464,0.11346219719315814,0.16262725871539274,0.5132390883140381,0.12044935164835316,0.18293609182527346,0.6584231162180788,0.709051724137931
2021,3,2015,2020,480,0.09731206730421516,0.1165079245196813,0.3023743083125855,0.05491391401354538,0.08765259700795441,0.6264950028641134,0.70625
2021,7,2015,2020,464,0.1097987881679041,0.14080150036316666,0.3918922636237667,0.06756644123407549,0.10434933752095282,0.6475023496963599,0.7219827586206896
2022,3,2015,2021,480,0.09546651242971142,0.10820959769505505,0.22165784993663784,0.039560084572894665,0.07609843699399138,0.5198541012874978,0.7083333333333334
2022,7,2015,2021,464,0.11289973103015723,0.13187422491449138,0.26706413390142425,0.05419089137556204,0.09659575992849925,0.5610069366986135,0.7004310344827587
2023,3,2015,2022,480,0.08674970494238214,0.10887475134159107,0.3651345976758089,0.05180761903213812,0.07952333984224015,0.6514769014344093,0.7354166666666667
2023,7,2015,2022,464,0.10546442351285161,0.14083818580217916,0.43924762464339284,0.07045230233389929,0.0972115453865192,0.7247318418175178,0.7392241379310345
2024,3,2015,2023,480,0.09060954964264531,0.10374339446442915,0.23717127958893724,0.04463658574539841,0.07620428470547634,0.5857490286525929,0.7125
2024,7,2015,2023,464,0.10885635033133974,0.13437067792060403,0.34370586613749776,0.058993682548818184,0.09304741000220028,0.6340174599961802,0.7176724137931034
