datetime,n_sec,latitude,longitude,temp_c,rh,wspd,wspd_max,wdir,pres_hpa,heading,sog_ms,cog_deg,qc_bad_temp,qc_bad_wspd,qc_bad_pres,wspd_zero_frac,cruise_year
2020-07-12 15:00:00,3590,34.9217595,127.69755466666666,20.9,94.7,7.1,18.8,274.27999471350387,1002.96,204.7,0.0026376224386067118,21.32492721574731,0.0,0.0,0.0,0.0,2020
2020-07-12 16:00:00,3593,34.921760666666664,127.69756066666666,21.57,91.9,7.1,17.4,266.9519179544583,1002.16,204.73893681892665,0.0017727145145093198,170.16068459749582,0.0,0.0,0.0,0.0,2020
2020-07-12 17:00:00,3593,34.921749500000004,127.69755583333333,21.91,89.0,8.1,23.0,265.878060570545,1001.18,204.8,0.002470998363640412,341.1724757140331,0.0,0.0,0.0,0.0,2020
2020-07-12 18:00:00,3595,34.92175816666667,127.69756583333334,21.42,91.6,7.4,15.7,259.98763549214056,1000.6,204.7213351828758,0.0018532487727303088,180.92126194430105,0.0,0.0,0.0,0.0,2020
2020-07-12 19:00:00,3587,34.9217545,127.697567,20.84,93.7,7.4,20.1,251.31866666106856,999.82,204.70449024181679,0.0015506171374142972,337.26308350743153,0.0,0.0,0.00027878449958182325,0.0,2020
2020-07-12 20:00:00,3595,34.921755833333336,127.69756466666668,20.11,97.1,5.9,17.8,243.59620003391524,999.91,204.61429764022617,0.0038777496551704875,182.47979614286277,0.0,0.0,0.0,0.0,2020
2020-07-12 21:00:00,3592,34.92175483333333,127.69755283333333,20.66,96.0,6.0,14.7,260.31023547862657,999.65,204.59999999999997,0.002483942864599643,271.65525428030423,0.0,0.0,0.0,0.0,2020
2020-07-12 22:00:00,3593,34.921751666666665,127.69756433333332,20.42,97.2,5.4,12.9,253.12123391976542,999.42,204.58906206899044,0.0025508239314671662,149.58406777454175,0.0,0.0,0.0,0.0,2020
2020-07-12 23:00:00,3594,34.92176416666667,127.69755216666665,20.17,96.9,6.3,16.0,237.73465107528486,998.5,204.68870323321846,0.0020433102774937307,317.47254230439444,0.0,0.0,0.0,0.0,2020
2020-07-13 00:00:00,3591,34.92175516666667,127.69755349999998,20.36,96.0,7.0,17.0,242.42303472859948,998.24,204.75694785522674,0.001977924875567554,148.76890354691983,0.0,0.0,0.0,0.0,2020
2020-07-13 01:00:00,3594,34.92175533333333,127.69755400000001,20.82,94.9,5.4,14.9,266.61809331071737,998.04,204.6318864734678,0.0018773475009260861,327.05914451643616,0.0,0.0005564830272676684,0.0,0.0,2020
2020-07-13 02:00:00,3595,34.9217585,127.69754916666668,20.55,96.6,5.0,14.4,269.06902902129366,998.18,204.62197496035034,0.0027704629019856637,179.8175242173893,0.0,0.0,0.0,0.0,2020
2020-07-13 03:00:00,3593,34.92175933333333,127.69756199999999,20.17,98.6,4.2,10.6,277.2137725127047,998.24,204.64163651338302,0.003545429084406064,149.21496956976452,0.0,0.0,0.0,0.0,2020
2020-07-13 04:00:00,3596,34.921749500000004,127.69756666666666,20.36,98.5,4.5,8.4,273.97223039462546,998.15,204.7,0.0019584352756462026,32.34025111911118,0.0,0.0,0.0,0.0,2020
2020-07-13 05:00:00,3592,34.92176333333334,127.69755366666668,20.27,98.8,3.9,11.4,275.22901158771253,998.01,204.75757238495163,0.005096582162354228,327.4737605395705,0.0,0.0,0.0,0.0,2020
2020-07-13 06:00:00,3593,34.92176516666667,127.69754900000001,20.3,98.9,4.0,9.9,274.88706827335204,998.1,204.8,0.002286990731324291,59.34738761506831,0.0,0.0,0.0,0.0,2020
2020-07-13 07:00:00,3593,34.92176466666667,127.69755733333335,20.57,98.0,4.8,12.7,273.61151990567515,997.72,204.77016421246873,0.0014793513006220655,110.41644681794583,0.0,0.0,0.0,0.0,2020
2020-07-13 08:00:00,3590,34.92175266666666,127.6975565,20.42,98.7,3.8,10.3,273.8938310642158,997.75,204.73245124957592,0.00199735895010637,20.932648303765955,0.0,0.0,0.0,0.0,2020
2020-07-13 09:00:00,3592,34.9217645,127.6975565,20.74,97.6,4.0,9.7,267.1348929111656,997.81,204.76659243136504,0.0024839428608501046,246.27158620448586,0.0,0.0,0.0,0.0,2020
2020-07-13 10:00:00,3591,34.92175916666667,127.69756149999999,20.89,96.3,3.8,9.5,263.5689472402029,997.87,204.69919242581653,0.0018575698652300058,153.0140692819142,0.0,0.0,0.0,0.0,2020
2020-07-13 11:00:00,3592,34.9217605,127.69756183333332,21.11,98.4,3.7,9.3,247.6785238765047,998.15,204.6938752809579,0.0032653582581165714,45.08432333878399,0.0,0.0,0.0,0.0,2020
2020-07-13 12:00:00,3592,34.921776666666666,127.697564,20.28,99.1,3.3,8.5,248.73470981484442,998.5,204.68357461492485,0.0030510376650720785,273.31625844666246,0.0,0.0,0.0,0.0,2020
2020-07-13 13:00:00,3593,34.921760666666664,127.69756433333332,20.25,99.3,2.1,5.2,239.23641531582282,998.5,204.7,0.004118705448083366,195.65511221910987,0.0,0.0,0.0,0.0030615084887280824,2020
2020-07-13 14:00:00,3595,34.92176116666667,127.697565,20.12,99.6,1.7,5.7,226.0144970823663,998.13,204.7,0.001958435068532346,304.62069639039413,0.0,0.0,0.0,0.04339360222531293,2020
