모형,R²,adj R²,AIC,n,ΔR²(vs M0)
M0 연도만,0.16785919578803354,0.16543135974365142,4309.98448664475,1376,0.0
M1 해빙만,0.1715679981854239,0.16854452372624662,4305.838028547989,1376,0.003708802397390354
M2 해빙+풍속,0.1902879582190553,0.18673918374813803,4276.388063621479,1376,0.022428762431021765
M3 합성지수,0.17130907698586084,0.16828465755880195,4306.2680214811135,1376,0.003449881197827298
M4 성분 전부,0.21551779349125366,0.21092682227540138,4236.8310727404105,1376,0.04765859770322012
