datetime,cruise_year,era5_region,sog_ms,slow,ice,wind,cold,fog,composite
2020-08-06 09:00:00,2020,chukchi,5.714822869656607,0,0.0,0.0,0.0,0.67607421875,0.09014322916666666
2020-08-06 10:00:00,2020,chukchi,5.685499533461163,0,0.0,0.0,0.0,0.67607421875,0.09014322916666666
2020-08-06 11:00:00,2020,chukchi,4.643598373157759,1,0.0,0.0,0.0,0.84638671875,0.1128515625
2020-08-06 12:00:00,2020,chukchi,5.581307468259021,0,0.23983328683035712,0.0,0.01952362060546875,0.94169921875,0.24008524576822915
2020-08-06 13:00:00,2020,chukchi,4.992905227101722,1,0.25487409319196425,0.0,0.02089080810546875,0.99169921875,0.25395324707031247
2020-08-06 14:00:00,2020,chukchi,6.223138764682094,0,0.24558803013392855,0.0,0.02362518310546875,1.0,0.25109110514322913
2020-08-06 15:00:00,2020,chukchi,6.657997336530376,0,0.35497174944196425,0.0,0.04891815185546875,1.0,0.3055092366536458
2020-08-06 16:00:00,2020,chukchi,5.92736919344714,0,0.37184361049107145,0.0,0.05253143310546875,1.0,0.31386454264322916
2020-08-06 17:00:00,2020,chukchi,6.317603132753243,0,0.32092285156249994,0.0,0.05751190185546875,1.0,0.2907655843098958
2020-08-06 18:00:00,2020,chukchi,6.247625132127955,0,0.3064052036830357,0.0,0.04891815185546875,1.0,0.28284484863281245
2020-08-06 19:00:00,2020,chukchi,6.033408818501614,0,0.2917567661830357,0.0,0.04696502685546875,1.0,0.2757484944661458
2020-08-07 02:00:00,2020,chukchi,5.829023128383446,0,0.22540283203124997,0.0,0.00845184326171875,0.71103515625,0.2011195882161458
2020-08-07 03:00:00,2020,chukchi,6.228441303790523,0,0.22038922991071425,0.0,0.03258514404296875,0.6833984375,0.19831278483072912
2020-08-07 05:00:00,2020,chukchi,6.2948930584093405,0,0.21860177176339282,0.0,0.03297576904296875,0.7873046875,0.2113848876953125
2020-08-07 06:00:00,2020,chukchi,5.923826875904966,0,0.24166434151785712,0.0,0.03424530029296875,0.8232421875,0.2271083577473958
2020-08-07 09:00:00,2020,chukchi,5.971264781524065,0,0.24166434151785712,0.0,0.07061004638671875,0.7728515625,0.2252382405598958
2020-08-09 19:00:00,2020,east_siberian,6.42341295822668,0,0.3150809151785714,0.0,0.05394744873046875,1.0,0.28756408691406243
2020-08-09 20:00:00,2020,east_siberian,6.390726083768899,0,0.32432338169642855,0.0,0.05746307373046875,1.0,0.2923459879557292
2020-08-09 22:00:00,2020,east_siberian,5.737935000625907,0,0.3006940569196428,0.0,0.02284393310546875,1.0,0.27670308430989576
2020-08-09 23:00:00,2020,east_siberian,5.636292170297393,0,0.3233206612723214,0.0,0.02294158935546875,1.0,0.28727518717447914
