horizon,method,MAE,RMSE,skill_vs_persist,skill_vs_clim
3,지속성(오늘값),0.07851376811734823,0.10696684908266532,0.0,0.5568474567888361
3,기후값,0.12275530883041602,0.1606839798914043,-1.2565593164688122,0.0
3,모델,0.06635805906483212,0.09216913049889168,0.2575408309621423,0.6709773310104259
7,지속성(오늘값),0.0975005524768151,0.13574692735833802,0.0,0.3073817028886585
7,기후값,0.12536162410398552,0.1631109164930349,-0.4437966830657458,0.0
7,모델,0.0793160501092015,0.10947348799908564,0.3496339011010575,0.5495445400816682
