pair,spearman_rho,p_value
통항량 ~ 9월해빙,0.5188329934285483,0.15236740186901965
통항량 ~ 유가,0.326362689414732,0.39136044929979796
9월해빙 ~ 연도,0.35,0.35581957250178897
통항량 ~ 연도,0.54393781569122,0.13005468899084702
