region,pearson_r,spearman_rho,p_value,n
chukchi,0.9133737974196202,0.9439650610603157,0.0,1230
east_siberian,0.9048938973498855,0.9502768945380361,0.0,1230
kara,0.9112574941719043,0.9144223520802757,0.0,1230
laptev,0.9543728853929718,0.967665652441153,0.0,1230
