datetime,n_sec,latitude,longitude,temp_c,rh,wspd,wspd_max,wdir,pres_hpa,heading,sog_ms,cog_deg,qc_bad_temp,qc_bad_wspd,qc_bad_pres,wspd_zero_frac,cruise_year,t2m_C,wind_ms,siconc,d2m_C,era5_lat,era5_lon,era5_region
2020-08-03 23:00:00,3589,65.14645449999999,-168.674748,,93.0,21.0,44.7,208.9273327617325,1006.36,354.30402250063446,5.212076037746875,337.27409760818676,0.9919197548063527,0.0,0.0,0.0,2020,5.598541259765625,10.942691802978516,0.0,3.862213134765625,65.25,191.25,chukchi
2020-08-04 00:00:00,3592,65.17388683333333,-168.69072491666668,,91.8,13.8,41.7,220.25512920709872,1006.3,12.815085143678466,0.046518816718425,32.86769942527913,0.9465478841870824,0.0,0.0,0.0,2020,5.598541259765625,10.942691802978516,0.0,3.862213134765625,65.25,191.25,chukchi
2020-08-04 01:00:00,3063,65.25884766666667,-168.5310038333333,,90.3,22.5,40.2,219.85126809827707,1005.82,33.10740604560718,5.1935511646645045,34.95713673898162,0.7120470127326151,0.0003264773098269,0.0003264773098269,0.0,2020,6.026275634765625,10.848769187927246,0.0,4.082916259765625,65.25,191.5,chukchi
2020-08-04 02:00:00,3594,65.42756925,-168.39935258333335,,90.3,22.7,43.6,209.85287174526204,1005.79,3.3828895950746403,5.5364904484113735,0.939878520880698,0.9977740678909294,0.0,0.0,0.0,2020,5.827056884765625,10.74665355682373,0.0,3.998931884765625,65.5,191.5,chukchi
2020-08-04 03:00:00,3592,65.6072805,-168.41729241666667,,95.5,21.6,40.8,206.8183747450236,1006.39,359.20358571696937,5.6366765801258065,357.53834869483563,1.0,0.0,0.0,0.0,2020,6.040435791015625,9.201921463012695,0.0,4.524810791015625,65.5,191.5,chukchi
2020-08-04 04:00:00,3594,65.79297508333333,-168.42048683333337,,95.8,21.1,37.2,203.8483668170519,1006.71,1.912103708183231,5.774281019090425,359.99736621976933,1.0,0.0,0.0,0.0,2020,5.841217041015625,8.875041007995605,0.0,4.450592041015625,65.75,191.5,chukchi
2020-08-04 05:00:00,3598,65.9115865,-168.42163833333336,,96.4,20.5,35.6,202.6735067462015,1007.08,357.32331534107016,5.779819641350133,1.8554116668318008,1.0,0.0,0.0,0.0,2020,5.558013916015625,8.555127143859863,0.0,4.407623291015625,66.0,191.5,chukchi
2020-08-04 06:00:00,3590,66.10149433333333,-168.42183691666668,,97.3,21.5,39.6,199.54106204840903,1006.82,0.4705839923686702,5.939057299332025,359.5540012265875,1.0,0.0,0.0,0.0,2020,5.558013916015625,8.555127143859863,0.0,4.407623291015625,66.0,191.5,chukchi
2020-08-04 07:00:00,3584,66.29600758333333,-168.4218638333333,,96.6,21.0,38.5,198.83528826613585,1007.14,359.6734056234666,5.956334991667614,357.38934433278837,1.0,0.0,0.0,0.0,2020,5.257232666015625,8.395294189453125,0.0,4.333404541015625,66.25,191.5,chukchi
2020-08-04 08:00:00,3594,66.47620308333333,-168.5407245,,96.7,20.7,37.2,188.39290579509571,1007.37,339.2291104209107,5.912119741690371,337.36273815141345,1.0,0.0,0.0,0.0,2020,5.190826416015625,8.238166809082031,0.0,4.261138916015625,66.5,191.5,chukchi
2020-08-04 09:00:00,3593,66.629966,-168.687219,,98.0,9.6,30.8,180.4032339097025,1007.8,335.7738055278818,0.0155892212784441,336.5769835439224,1.0,0.0,0.0,0.0,2020,4.645172119140625,7.092668533325195,0.0,3.719390869140625,66.75,191.25,chukchi
2020-08-04 10:00:00,3596,66.64201341666667,-168.69350266666666,,98.6,17.9,34.3,184.45024856035295,1008.23,344.5096124927568,5.299692109814066,345.86530820028935,1.0,0.0,0.0,0.0,2020,4.645172119140625,7.092668533325195,0.0,3.719390869140625,66.75,191.25,chukchi
2020-08-04 11:00:00,3589,66.82593266666666,-168.73865983333332,,98.3,19.0,35.2,187.88511894114396,1008.81,355.02963634457467,5.7015170183783725,354.1226979161861,1.0,0.0,0.0,0.0,2020,4.645172119140625,7.092668533325195,0.0,3.719390869140625,66.75,191.25,chukchi
2020-08-04 12:00:00,3593,67.008798,-168.7864733333333,,98.1,18.7,33.6,188.7990739072584,1007.63,355.08594573780914,5.703112401365927,354.1938015290316,1.0,0.0,0.0,0.0,2020,4.459625244140625,6.4367547035217285,0.0,3.641265869140625,67.0,191.25,chukchi
2020-08-04 13:00:00,3593,67.1499045,-168.82339516666664,,97.4,17.7,32.9,173.91974312842794,1007.51,349.95116082190737,5.317109139360662,352.90147287600206,0.9997216810464792,0.0,0.0,0.0,2020,4.420562744140625,6.0542192459106445,0.0,3.668609619140625,67.25,191.25,chukchi
2020-08-04 14:00:00,3594,67.30350158333334,-168.86346874999998,,96.8,17.5,32.0,177.57596713506015,1007.2,355.02981353232275,5.649745155923414,354.31691464748485,0.9994435169727324,0.0,0.0,0.0,2020,4.420562744140625,6.0542192459106445,0.0,3.668609619140625,67.25,191.25,chukchi
2020-08-04 15:00:00,3593,67.48555466666667,-168.91112383333336,,97.5,17.1,30.4,176.0545736637906,1006.88,355.6728021867007,5.676333060688494,354.4109729952159,1.0,0.0,0.0,0.0,2020,4.178863525390625,3.9732367992401123,0.0,3.492584228515625,67.5,191.0,chukchi
2020-08-04 16:00:00,3594,67.66802458333333,-168.95912791666666,,98.5,10.7,26.0,155.6123457713929,1006.85,334.6755744030277,3.0833270909564465,348.0276915697575,1.0,0.0,0.0,0.0,2020,4.528472900390625,4.5211052894592285,0.0,3.766021728515625,67.75,191.0,chukchi
