sea,metric,slope_per_year,p_value,theil_sen,sen_ci_low,sen_ci_high,early5,recent5
Chukchi,개빙기 시작일,-1.0858902649893252,2.5508918777757035e-05,-0.8819444444444444,-1.3333333333333333,-0.5,240.6,212.6
East-Siberian,개빙기 시작일,-0.44268303076791954,0.09716444861470655,-0.5,-1.2,0.15789473684210525,243.4,232.0
Kara,개빙기 시작일,-1.28177891537354,2.7314240796905413e-10,-1.2272727272727273,-1.5294117647058822,-0.9285714285714286,230.8,189.0
Laptev,개빙기 시작일,-0.976617499161918,1.889715628740228e-05,-0.8888888888888888,-1.4,-0.5238095238095238,246.8,203.0
Chukchi,개빙기 종료일,0.9274938621930613,2.459676040557954e-05,0.9230769230769231,0.5,1.2608695652173914,273.2,304.2
East-Siberian,개빙기 종료일,0.42708599676127157,0.02361742366033557,0.4365079365079365,0.09523809523809523,0.8,274.8,283.6
Kara,개빙기 종료일,0.928304804564603,1.6353651318420814e-08,0.8571428571428571,0.6190476190476191,1.1578947368421053,280.8,309.4
Laptev,개빙기 종료일,0.6025603419376468,1.443738605010884e-06,0.5625,0.35714285714285715,0.8,267.8,289.2
Chukchi,개빙기 길이(일),2.0133841271823867,4.4454939154864135e-07,1.919871794871795,1.1794871794871795,2.730769230769231,33.6,92.6
East-Siberian,개빙기 길이(일),0.8697690275291909,0.03786403541010245,0.9827586206896552,0.11764705882352941,1.8571428571428572,32.4,52.6
Kara,개빙기 길이(일),2.2100837199381433,9.523020740598907e-11,2.130434782608696,1.625,2.7142857142857144,51.0,121.4
Laptev,개빙기 길이(일),1.5791778410995643,9.33294924958572e-07,1.5714285714285714,1.0,2.1333333333333333,22.0,87.2
Chukchi,연중 최소빙일,0.08591581868640148,0.5403692178888915,0.08333333333333333,-0.2,0.3684210526315789,255.2,261.0
East-Siberian,연중 최소빙일,0.16419981498612396,0.08325180221790955,0.18518518518518517,0.0,0.3333333333333333,256.8,259.6
Kara,연중 최소빙일,-0.2753237742830712,0.02907546561980919,-0.20512820512820512,-0.5,0.0,264.8,255.4
Laptev,연중 최소빙일,0.1379509713228492,0.2556668132757306,0.13333333333333333,-0.1111111111111111,0.4,258.6,255.8
