region,base,eta_0.2,eta_0.35,eta_0.5
chukchi,0.48756543058113294,0.44603015777018445,0.41487870316197306,0.3837272485537617
east_siberian,0.4202311862603826,0.373516063310518,0.3384797210981196,0.3034433788857211
kara,0.3793608600514076,0.3457210843293072,0.32049125253773186,0.2952614207461564
laptev,0.5402307557980808,0.47684959209286737,0.4293137193139573,0.3817778465350472
